S. No.,State/ UT,Fine_TotalAcc,Fine_PersonsKilled ,Mist_TotalAcc,Mist_PersonsKilled,Cloudy_TotalAcc,Cloudy_PersonsKilled,LightRain_TotalAcc,LightRain_PersonsKilled,HeavyRain_TotalAcc,HeavyRain_PersonsKilled,Flooding_TotalAcc,Flooding_PersonsKilled,Hail_TotalAcc,Hail_Persons Killed,Snow_TotalAcc,Snow_PersonsKilled,StrongWind_TotalAcc,StrongWind_PersonsKilled,DustStorm_TotalAcc,DustStorm_PersonsKilled
1,Andhra Pradesh,14591,4586,724,219,647,188,1104,368,695,231,139,78,33,6,556,124,350,117,170,41
2,Arunachal Pradesh,71,30,14,10,11,8,17,9,10,8,0,0,0,0,3,2,15,12,12,9
3,Assam,3575,1318,494,150,285,100,320,104,189,64,17,5,3,0,6,3,107,44,17,12
4,Bihar,2343,1218,1713,881,438,203,721,344,609,328,228,122,85,44,31,17,382,174,352,146
5,Chhattisgarh,5000,1354,382,149,863,216,1810,478,718,194,107,41,84,25,85,43,177,68,198,72
6,Goa,3556,257,0,0,27,6,417,19,222,8,0,0,0,0,0,0,0,0,0,0
7,Gujarat,15008,4876,643,176,1066,387,1520,564,815,276,116,30,31,17,84,42,277,120,441,158
8,Haryana,5519,2043,724,263,310,160,511,191,300,143,242,136,240,135,0,0,246,135,264,176
9,Himachal Pradesh,2070,736,90,45,195,96,134,54,86,27,0,0,0,0,31,15,0,0,0,0
10,Jammu & Kashmir,5290,816,16,7,79,26,66,21,90,32,0,0,0,0,100,27,0,0,0,0
11,Jharkhand,1249,751,478,199,510,218,484,235,488,252,18,8,48,28,2,0,145,54,195,92
12,Karnataka,27346,6533,1236,245,1696,392,2726,639,1827,464,61,1,10,2,172,42,143,53,263,46
13,Kerala,28138,3257,477,28,1239,90,3489,388,2903,286,36,0,0,0,0,0,0,0,0,0
14,Madhya Pradesh,39335,6262,2228,215,1436,342,2655,337,1086,266,0,0,214,25,21,0,44,20,235,88
15,Maharashtra,55186,11099,290,79,755,161,1465,303,359,77,24,4,0,0,0,0,16,5,320,101
16,Manipur,228,72,38,6,33,5,90,13,96,19,17,4,18,2,7,1,46,6,29,2
17,Meghalaya,43,7,44,12,57,19,27,8,98,41,42,10,0,0,28,9,13,4,0,0
18,Mizoram,88,76,14,10,0,0,30,17,0,0,0,0,0,0,0,0,0,0,0,0
19,Nagaland,251,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Orissa,3713,1592,670,259,691,300,1101,396,836,341,114,26,47,22,31,12,139,61,184,77
21,Punjab,3631,2707,891,605,246,163,281,192,199,150,59,38,9,2,0,0,56,44,84,50
22,Rajasthan,21567,8866,611,328,240,77,290,126,30,20,0,0,0,0,0,0,59,17,59,32
23,Sikkim,58,17,47,12,0,0,0,0,26,7,0,0,0,0,0,0,0,0,0,0
24,Tamil Nadu,42716,10753,1857,256,2479,415,2909,649,2383,494,77,8,39,7,834,101,420,58,1464,205
25,Telangana,10845,3622,287,148,470,139,913,355,677,290,452,120,211,56,861,281,449,139,210,60
26,Tripura,551,139,39,15,43,13,29,5,15,4,1,0,0,0,0,0,1,0,0,0
27,Uttarakhand,1081,702,95,48,33,18,37,26,18,8,2,1,0,0,0,0,5,4,0,0
28,Uttar Pradesh,11484,5865,1454,860,1341,723,2311,1205,2064,1113,364,204,188,116,160,79,942,514,610,301
29,West Bengal,4513,2187,1533,650,538,213,1152,506,1193,652,81,35,159,64,33,15,192,63,196,90
30,A & N Islands,168,20,0,0,0,0,36,2,14,1,0,0,0,0,0,0,0,0,0,0
31,Chandigarh,369,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,D & N Haveli,47,34,0,0,0,0,25,13,0,0,0,0,0,0,0,0,0,0,0,0
33,Daman & Diu,38,14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
34,Delhi,NA,1656,NA,11,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,453,68,1,0,42,9,128,10,61,15,0,0,12,0,82,11,95,0,0,0
Total,Total,310121,83727,17090,5886,15770,4687,26799,7578,18107,5814,2197,871,1431,551,3127,824,4319,1713,5303,1758
